//
// letter, sound ID, display string, word1, word2, word3, "quiz word1, quizWord2", color
//
A,long,A,ape,tail,jay,"skate, suitcase, crayons, baby, grapes, playground, crane, cradle, face, whale", black
A,short,A,bat,cat,wagon,"axe, taxi, wagon, clam, hamster, raccoons, camel, rabbit, cactus, statue", green
A,ahh,A,swan,father,squash,"saw, swan, fall, hawk, walnuts, fall, draw, walrus, ball", purple
A,schwa,A,canoe,zebra,sofa,"afraid, excavator, gazelle, balance beam", orange
A,AI,AI,tail,nail,rainbow,"snail, airplane, chair, saint bernard, wheelchair, afraid, paint, chainsaw, mailman", black
A,AN,AN,man,hand,candy,"panda, sandbox, van, frying pan, blanket, kangaroo", black
A,AR,AR,arm,star,garden,"car, armadillo, scarf, barn, carpet, dark, hard hat, saint bernard", black
A,AU,AU,daughter,laundress,sauce pan,"astronaut, sauce pan, cauldron, faucet, caught, haul", black
A,AW,AW,saw,hawk,draw,"chainsaw, strawberries, yawn, straw, claw hammer, macaw parrot, see saw", black
A,AY,AY,jay,crayons,playground,"daydreaming, daybreak", black
B,buh,B,bubble,boy,frisbee,"butterfly, rabbit, beaver, sandbox, saint bernard, rainbow, bat, surfboard, zebra, balance", black
B,BL,BL,blue,blanket,bloodhound,"blackberries, blew", black
B,BR,BR,bridge,break,brush,"zebra, gingerbread man, umbrellas, sombrero, eyebrow, brother, brown", black
C,kuh,C,cat,canary,cake,"candy, volcano, camel, raccoons, cow, cut, curl, corn, suitcase, car", black
C,sss,C,celery,face,balance,"ice, pencil, tricycle, unicycle, ice cream, sauce pan, dancing", green
C,CH,CH,chipmunk,chimney,catch,"catcher, chair, hatchet, wheelchair, ostrich, chainsaw", black
C,CL,CL,clown,clam,climb,"cloud, claw hammer, clam, cleats, clarinet, hedge clippers, four-leaf clover", black
C,CR,CR,crab,crane,cradle,"crayons, cry, scratch, ice cream, cranberries, screws", black
D,duh,D,dog,dozer,sled,"dig, cloud, dark, slide, window, garden, bed, bulldog, spider, proud", black
D,DR,DR,drink,drop,drill,"drum, draw, laundress, cauldron", black
E,long,E,key,zebra,tree,"monkey, frisbee, trolley, queen, chimney, jeep, sleepy, sweet, three, wheelchair", black
E,short,E,elf,bed,net,"sled, yellow, jelly-jars, jellyfish, bell, pretzel, present, question", green
E,schwa,E,camel,hatchet,kitten,"oven, carpet, shovel, squirrel, mittens, quiet", orange
E,EA,EA,eat,eagle,leaf,"beaver, seagulls, steal, ice cream, beagle, teapot, guinea pig, peas, green beans, balance beam", black
E,ER,ER,boxer,catcher,teeter-totter,"flower, dozer, hamster, juggler, beaver, butterfly, silver, finger, feather, spider", black
E,ET,ET,net,pet,rocket,"trumpet, basket, blanket, life jacket, hatchet, carpet, pretzel, bucket", black
E,EW,EW,flew,screws,stew pot,"cashew, threw, blew, jewelry", black
F,fuh,F,fox,fish,sofa,"firetruck, wolf, fiddle, giraffe, fall, elf, feather, traffic light, leaf, surfboard", black
F,FL,FL,flower,fly,flag,"butterfly, flew, flute, housefly, flashlight, flame", black
F,FR,FR,frog,frisbee,frying pan,"fridge, front loader, afraid, fridge, frog pads", black
G,guh,G,goose,goat,flag,"garden, wagon, girl, kangaroo, hug, gold, eagle, penguin, bulldog, seagulls", black
G,juh,G,giraffe,gingerbread man,fridge,"bridge, fringe, hedge clippers, syringe, bandage", green
G,GL,GL,gloves,glass,juggler,"globe, glow, sunglasses, glum, spyglass", black
G,GR,GR,grapes,grass,angry,"greyhound, playground, green beans, grizzly bear, grasshopper, grandmother, grandfather, grandfather clock", black
H,huh,H,hug,hard hat,greyhound,"hawk, hamster, horn, hilly, hatchet, bloodhound, hand, hat, hot, hit", black
I,long,I,ice,climb,life jacket,"lion, slide, tricycle, spider, ice cream, bride, diving, five", black
I,short,I,mittens,hit,fish,"lizard, window, frisbee, slippers, chimney, swing, fiddle, unicycle, sing, ostrich", green
I,schwa,I,rabbit,pencil,family,"", orange
I,ee,IE,collie,cookies,strawberries,"beanie cap, groceries, labrador retriever, blackberries, diesel truck", black
I,ie,IE,tie,quiet,pie,"flies, spies, butterflies, cries, pie man, bow tie", green
I,IGH,IGH,light,frightened,nightgown,"lightning, night, flashlight, fight, flight", black
I,IL,IL,spill,drill,silver,"hilly, armadillo, stilts, silly, pencil", black
I,IR,IR,bird,girl,birthday cake,"giraffe, thirsty, circle, stir, shirt", black
J,juh,J,jump,jay,jeep,"juggler, jellyfish, life jacket, jewelry, jack in the box, judge", black
K,kuh,K,kangaroo,kayak,key,"king, hawk, kitten, chipmunk, drink, fork, monkey, blanket", black
L,lll,L,love,leaf,bell,"lion, owl, lizard, tail, light, elf, trolley, yellow, bull, wolf", black
L,LE,LE,poodle,whale,tricycle,"whistle, turtle, unicycle, tricycle, saddle, cradle, eagle, fiddle, beagle", black
M,mmm,M,monkey,mole,hamster,"mother, clam, mouse, hamster, moth, man, chimney, mouth, camel, jump", black
N,nnn,N,nose,nail,lion,"nuts, van, net, penguin, clown, kitten, onion, queen, swan, canary", black
N,ND,ND,hand,sandbox,panda,"candy, greyhound, playground, bloodhound, candlestick, dandelion, sandal, sandwich, dachshund, grandfather", black
N,NG,NG,king,finger,sing,"swing, lightning, angry, fishing net, flying carpet, dancing", black
N,NK,NK,skunk,monkey,drink,"chipmunk, blanket, pink, bunk bed, monkey bars, tank truck, monkey wrench", black
O,long,O,old,mole,polar bear,"yo-yo, nose, sofa, gold, dozer, toe, throne, armadillo, volcano, robot", black
O,short,O,ostrich,pot,trolley,"fox, hot, boxer, drop, sandbox, rocket, moth, frog, trolley, crayon", green
O,uh,O,onion,oven,wagon,"love, monkey, glove, mother, shovel, monkey wrench, grandmother, monkey bars", orange
O,ew,OO,spoon,raccoons,boots,"kangaroo, poodle, goose, school bus, balloon, moon, broom, stool, coonskin cap, tool belt", black
O,uuh,OO,cookies,wood,foot,"football, crook, crooked, footstool, bookcase, book", green
O,OA,OA,goat,boat,coat,"soap, soccer goal, toaster, boat trailer, front loader", black
O,OI,OI,coin,poison,noise,"toilet, five-point-star, fencing foil, toilet paper, six-point-star", black
O,OR,OR,fork,storm,corn,"excavator, hornet, popcorn, tortilla, forest", black
O,OU,OU,mouth,cloud,mouse,"proud, playground, greyhound, doll house, mountain, bloodhound, cloudy", black
O,ohw,OW,rainbow,snow,bow and arrows,"window, yellow, bowl, throw, crowbar, lawnmower", black
O,ow,OW,owl,cow,town,"clown, flower, brown, eyebrow, trowel, nightgown, shower, wedding gown", green
O,OY,OY,boy,toys,oyster,"cowboy, joy, boyfriend, royal", black
